0.4942,0.4942,1,64,3,32,3,16,3,16
0.5823,0.5823,3,64,3,32,3,32,3,32
0.4994,-0.0829,1,16,3,16,3,32,3,64
0.4995,-0.06622,1,32,3,64,3,32,1,32
0.5267,-0.025776,3,32,3,64,1,64,3,16
0.4118,-0.1355208,1,64,1,64,1,32,3,16
0.2923,-0.22791664,1,32,1,64,1,16,1,32
0.5026,0.027966688,1,64,3,64,3,64,1,16
0.4831,0.0028733504,3,16,3,16,3,64,1,64
0.5584,0.07759868032,3,64,3,32,3,32,3,32
0.4893,-0.007021055744,1,16,3,64,1,16,3,64
0.4414,-0.0535168445952,1,32,1,64,1,32,3,64
0.5324,0.0481865243238,3,32,3,32,3,32,3,16
0.5473,0.0534492194591,3,64,3,32,3,32,3,32
0.3626,-0.141940624433,3,16,1,32,1,64,1,32
0.4696,-0.00655249954619,1,32,1,64,3,32,3,32
0.5406,0.065758000363,1,32,3,64,3,16,3,64
0.3574,-0.13059359971,1,32,1,32,1,16,3,16
0.4788,0.0169251202323,1,32,3,32,1,16,3,64
0.4745,0.00924009618588,3,32,1,64,3,16,3,16
0.3864,-0.0807079230513,1,16,3,16,1,32,1,32
0.4828,0.031833661559,1,32,1,16,3,64,3,16
0.4526,-0.00473307075283,3,64,3,32,1,32,1,32
0.5077,0.0513135433977,1,64,3,16,3,64,3,32
0.466,-0.000649165281811,3,64,1,32,3,32,1,64
0.4664,-0.000119332225449,1,32,3,64,1,32,3,16
0.5205,0.0540045342196,1,32,3,32,3,32,3,32
0.5448,0.0675036273757,1,16,3,64,3,16,3,64
0.5194,0.0286029019006,3,64,3,64,1,32,3,16
0.5967,0.10018232152,3,64,3,32,3,32,3,64
0.3832,-0.133354142784,1,32,3,16,1,16,1,32
0.4575,-0.0323833142269,1,16,3,16,1,16,3,64
0.4745,-0.00890665138153,1,32,1,32,3,32,3,32
0.4906,0.00897467889478,3,32,1,32,1,64,3,64
0.4856,0.00217974311582,3,64,1,64,1,16,3,64
0.3748,-0.109056205507,1,16,1,32,3,32,1,16
0.2782,-0.183844964406,1,32,1,32,1,16,1,32
0.2862,-0.139075971525,1,32,1,32,1,64,1,16
0.4439,0.0464392227802,1,32,3,64,3,16,1,32
0.5485,0.141751378224,3,64,3,16,1,64,3,64
0.6183,0.183201102579,3,64,3,64,3,32,3,64
0.6246,0.152860882063,3,64,3,64,3,32,3,64
0.4604,-0.0419112943492,1,32,1,64,3,16,3,32
0.6167,0.122770964521,3,64,3,64,3,32,3,64
0.4507,-0.0677832283835,1,32,1,64,1,64,3,64
0.2846,-0.220326582707,1,32,1,16,1,16,1,32
0.4729,0.0120387338346,1,16,1,16,3,16,3,64
0.4555,-0.00776901293235,1,64,3,64,3,16,1,16
0.4984,0.0366847896541,3,16,3,32,3,16,3,16
0.5871,0.118047831723,3,64,3,64,3,32,3,64
0.3961,-0.0965617346214,1,16,3,32,1,32,1,32
0.6117,0.138350612303,3,64,3,64,3,32,3,64
0.6093,0.108280489842,3,64,3,64,3,32,3,64
0.5082,-0.0144756081261,3,16,3,16,3,64,3,16
0.458,-0.0617804865009,3,16,1,64,3,32,1,64
0.5151,0.00767561079927,3,64,3,32,3,16,3,16
0.3918,-0.117159511361,1,32,1,32,1,16,3,16
0.2934,-0.192127609088,1,16,1,64,1,32,1,32
0.6221,0.174997912729,3,64,3,64,3,32,3,64
0.4445,-0.0376016698166,1,32,1,64,1,32,3,64
0.619,0.144418664147,3,64,3,64,3,32,3,64
0.4509,-0.0525650686826,3,64,3,64,1,16,1,16
0.6173,0.124347945054,3,64,3,64,3,32,3,64
